PetID,pf0,pf1,pf2,pf3,pf4,pf5,pf6,pf7,pf8,pf9
86e1089a3,27.164614,27.914206,26.506727,28.146193,28.562254,25.778955,28.453499,27.261803,26.815922,28.314594
6296e909a,33.979183,32.549713,34.142307,36.265575,35.526424,37.72368,33.944565,36.85046,35.42881,33.41281
3422e4906,59.16923,58.05943,58.998074,55.84188,57.970898,55.81032,57.826435,56.08725,59.967274,55.42431
5842f1ff5,43.098236,44.123726,39.12587,40.39162,41.779713,41.758175,43.89167,44.807007,41.1754,42.236485
850a43f90,46.496056,46.000687,48.184204,46.353783,46.828426,46.608723,48.76475,46.198627,48.350864,46.14523
d24c30b4b,32.401573,31.097937,30.032032,32.72563,31.443054,30.558828,29.752953,31.347864,31.319977,31.267183
1caa6fcdb,42.851723,40.838863,40.806458,44.464252,40.95967,40.57564,38.4439,40.594433,41.83359,41.374744
97aa9eeac,54.874794,55.383717,53.902424,54.646152,54.263783,54.854805,54.125153,51.448208,51.29221,53.69556
c06d167ca,37.27806,39.34154,35.101162,39.205803,40.825237,38.43457,39.236435,38.483463,37.5881,37.2433
7a0942d61,26.56429,27.207201,27.61234,26.818335,25.841103,27.4397,28.368946,28.830647,27.563662,26.83498
8b693ca84,41.94928,42.727257,40.65782,42.57985,42.3894,45.34886,42.483273,43.925972,44.20499,43.831814
8e76c8e39,36.686424,38.370747,36.830666,39.062794,37.006866,38.64048,38.22631,37.23559,38.897358,40.383595
aaedd873d,44.970737,41.916897,42.242725,42.788418,43.307816,43.64261,42.917236,43.364647,43.722935,44.046436
4a9793dfb,33.52724,33.037838,33.752544,32.868523,32.188927,32.7809,33.558743,33.356895,33.189972,32.93858
c02be41e6,33.921513,35.98939,33.1476,33.322792,34.132954,35.38097,33.958015,34.893333,35.761295,37.16378
1fd342e17,65.22193,67.14549,67.780304,60.88898,65.84725,62.60956,64.84975,65.88248,65.0662,65.99966
b38a74866,29.89388,29.40172,29.729107,31.210947,31.025196,28.79126,30.833876,30.386225,30.316967,29.985926
f9d07d5fa,35.345104,36.0636,32.92568,34.093697,33.07191,35.704895,35.354633,34.416477,32.414783,35.240562
1c92ce464,38.65824,36.692875,37.217564,37.63791,37.69592,37.662594,38.730915,37.88212,37.26312,37.75796
b10e7605a,40.05818,39.428455,38.935356,44.608204,39.49154,40.32231,42.681484,41.05674,39.95543,39.12203
6436c1a59,48.67049,46.200336,47.87738,46.455894,46.463318,46.01568,47.23191,47.82878,46.20174,47.51616
234a5a54c,37.290455,37.275658,36.626564,36.63167,37.657833,36.082222,36.485718,37.81688,36.794598,38.76673
988988d5b,48.508266,46.305775,44.852264,46.456085,45.57241,43.621662,48.67206,46.343105,46.550198,47.845608
cf7d3eec0,52.626472,53.15398,54.320168,55.021023,52.805634,52.825523,54.26639,51.546265,53.59152,55.517166
85fc3c314,35.711033,37.949177,36.903538,39.03556,37.07172,39.585598,38.083393,40.037136,40.24739,36.091503
efbf1703a,33.086926,30.92386,31.305004,32.024025,32.596935,31.370527,32.64916,31.1614,31.20788,32.119095
d341fbfd6,40.230766,40.355377,39.052746,44.284557,38.08013,40.058834,42.224537,38.990097,41.328804,41.25695
1a76190c5,59.472263,60.426105,56.975376,57.52024,56.905354,57.35584,58.483784,55.113834,58.375664,57.914482
edb920079,38.411808,36.380753,34.8377,35.89319,35.82796,34.86929,35.262726,34.884136,34.918156,35.183723
543130f60,40.000317,39.785637,39.747475,38.58878,37.272064,40.32081,38.256233,38.476482,39.71929,38.924114
9415bc79e,37.358276,37.86806,35.784206,38.026306,35.855778,35.395084,35.492428,37.31641,35.88663,36.73734
4c6fe4100,27.683979,28.416115,27.831999,29.00196,28.939754,27.87918,29.028124,29.577103,26.942905,28.84157
0737e4f11,45.433372,46.659927,45.37466,47.991596,47.653416,46.451466,44.452114,48.05949,46.89689,48.63305
61fa73996,32.847874,30.989573,32.561306,33.324043,32.415836,30.928835,32.1711,34.543304,32.094616,32.15529
eabb13cea,31.77281,30.753275,32.352932,31.12615,32.644524,33.11867,31.414171,33.8441,32.759563,32.698635
deff069a2,35.49687,33.539513,33.432327,35.411205,32.56223,36.082348,34.37955,34.740143,34.906643,34.622635
4e3640544,34.871136,35.540375,33.500175,35.52462,34.830544,33.53416,34.848576,34.765728,34.37585,38.0884
ace21b6b1,40.387817,41.496704,37.62911,40.287018,39.22072,39.39513,41.55849,39.916836,38.231434,38.57225
8ee223a17,31.961409,30.361044,28.910599,31.391693,31.0613,30.04917,30.999985,31.950611,29.71546,30.769733
9a38d4275,55.935913,57.78722,56.971382,56.607758,55.886,56.352203,58.401184,56.52578,57.364,59.21588
671ffc570,40.961666,40.416042,41.356945,41.68247,42.399258,41.451298,41.849754,41.659397,41.848953,39.68354
aece6e7bf,34.836094,34.72454,33.374557,34.47808,36.697056,36.148655,35.149826,34.531742,33.98663,35.318653
c1e816568,39.830635,37.061916,37.48635,36.611015,37.83088,38.958008,38.198204,37.819813,39.29055,35.613346
22f6c0ac6,38.467495,40.656734,38.986355,42.18202,38.672237,40.566113,41.602562,41.08181,41.15817,41.4247
ea159d8da,57.733463,58.5486,57.90576,54.828854,58.138615,57.475697,56.564037,58.504642,58.49459,56.57857
af1035c81,34.245724,33.065624,34.83799,34.14044,33.76287,35.75757,35.597965,34.838966,34.164722,34.88706
0d25f084f,50.24436,53.15168,51.212883,49.34039,47.96692,52.30685,52.21157,53.403168,54.404865,51.7236
6fecc5cf7,36.7862,37.28872,35.44505,37.01877,34.99117,37.78533,37.668156,36.77327,37.244896,37.58913
7fe8ef73d,33.19494,33.021606,32.956028,35.58626,33.27461,34.433964,35.242172,35.084137,33.36981,34.45089
015c75c9e,43.73986,43.08701,42.7819,40.833786,43.59186,40.149574,42.682854,41.336575,44.360466,45.46598
9609a0b86,26.427818,24.56506,23.754492,25.161558,22.244091,25.088957,24.545956,24.666056,24.109858,24.663023
f6551137d,29.565357,29.57263,29.10446,28.40876,28.64657,27.141602,27.846146,28.827131,28.16606,27.706068
8c131db77,25.185421,23.937977,24.91082,25.876629,24.182926,25.118547,25.03539,24.613987,26.546339,26.311398
d765ae877,32.53081,29.440865,29.67419,30.06596,27.999926,31.594446,29.55772,30.383734,30.067604,30.61676
8ce183889,45.61046,46.32568,45.86125,46.7151,45.222202,47.657715,45.90561,46.948288,48.16422,46.392296
9c0ddccc8,38.51756,38.569454,36.694004,36.552967,36.647842,37.242065,36.492855,39.05592,38.61173,37.890438
f9df8656a,40.571194,39.231014,38.997063,41.55016,40.34819,40.187923,39.991673,39.86058,40.442734,41.005127
f0ef9c777,26.027367,25.723091,23.42299,26.859936,26.18786,27.304777,28.426079,25.955957,26.833296,26.542334
3181e5424,50.779922,48.564438,49.947758,48.896347,50.824062,51.37623,47.60779,50.482864,51.1258,51.14598
9883a048e,46.913292,51.222916,46.94431,47.806988,49.355335,48.959873,49.422012,48.57853,48.61248,50.63627
b0dec8779,59.92902,58.694923,63.30153,59.480244,59.521156,60.402332,60.899532,61.835266,62.086792,57.952164
e8d0907ae,69.04387,74.8038,71.972145,68.73579,67.000534,62.684948,69.07688,69.931885,69.9894,72.70716
e540c1ba5,28.809938,29.153017,27.559332,28.17657,27.655258,27.123726,26.51433,29.437796,27.45572,28.469429
4a4db4d32,36.91763,40.081512,40.176804,40.738106,37.77361,37.535904,38.84399,41.75806,40.9368,38.109985
98a98311c,39.333763,38.668705,37.116203,39.57779,39.96152,38.435966,37.49334,37.932148,39.336987,40.059845
ef14861df,70.618286,72.50962,72.94653,72.320595,68.096054,66.68954,71.344826,71.01321,70.59831,73.610435
a9bc357f0,30.48767,28.53162,26.875368,28.582006,28.58982,30.272537,31.142252,28.243008,27.814198,30.444384
aaf4a1439,39.916214,39.337627,37.768585,38.44848,38.8879,39.33727,38.76519,39.094368,40.58858,38.413197
1e62e6022,35.35661,31.230465,32.612087,34.93536,32.594345,34.483902,31.030127,32.57116,33.544647,34.253662
4e797dcdd,38.817234,39.129524,37.725845,38.867947,39.323452,40.044163,38.8374,37.35193,38.67702,37.779675
