PetID,pf0,pf1,pf2,pf3,pf4,pf5,pf6,pf7,pf8,pf9
86e1089a3,29.62831,28.439152,29.001019,30.087042,29.758593,29.683245,30.358774,26.739567,30.007866,30.07136
6296e909a,37.969776,43.912167,41.1187,39.68741,43.21008,41.147743,45.08914,40.795162,41.742985,40.99665
3422e4906,56.320564,55.748238,52.91118,54.912674,55.41516,54.946457,56.125755,56.384468,56.839157,58.06199
5842f1ff5,42.934967,44.851383,41.396255,41.276592,42.115505,42.295578,46.36509,43.3616,44.23994,46.187347
850a43f90,56.67675,54.454292,54.938625,55.21028,54.46806,55.051033,54.65849,55.097168,53.317142,55.835213
d24c30b4b,30.8607,29.555897,30.441814,29.027567,29.561121,29.523441,29.525814,29.04387,28.355446,29.668812
1caa6fcdb,35.277157,37.18442,38.009064,34.90264,39.20595,38.793922,37.545822,36.027752,36.010445,39.17281
97aa9eeac,53.63495,51.986187,49.697514,49.46446,49.23369,47.26258,51.012684,52.83216,52.752663,49.700863
c06d167ca,33.27211,36.029884,34.198906,38.16537,35.43026,35.49587,38.356964,35.649166,36.35136,34.334435
7a0942d61,30.424734,29.188179,27.962362,29.778194,28.710285,28.691042,30.34572,29.022335,27.87641,28.050446
8b693ca84,43.000782,43.630943,41.61706,41.052673,41.067646,45.34815,43.438065,43.46503,46.812294,43.521526
8e76c8e39,42.169006,41.888885,42.847626,44.06454,45.763145,42.79696,42.605686,44.70056,40.996395,45.88446
aaedd873d,40.902004,38.073696,39.738827,41.05015,37.84665,39.65813,40.950302,38.857346,41.375587,38.851593
4a9793dfb,32.288124,32.448956,33.2417,31.883228,31.5788,33.09699,33.022736,33.630024,30.450804,33.01774
c02be41e6,31.716406,31.802124,28.028233,29.261705,29.517883,30.275139,32.99224,30.663517,29.442331,32.566486
1fd342e17,63.411785,60.063457,62.37724,63.184452,62.885212,62.26349,58.749092,57.715424,60.54803,65.97115
b38a74866,27.346397,24.13203,27.169895,28.722546,26.63773,26.405853,27.935188,25.800577,26.43114,26.357927
f9d07d5fa,37.817783,35.55689,36.325977,37.259773,38.976818,37.89021,36.776314,39.499794,38.496777,39.323948
1c92ce464,40.06588,40.15209,38.703003,36.313934,37.533115,40.42723,42.072617,39.4629,38.950706,41.397987
b10e7605a,33.583466,32.907837,31.007204,32.71996,31.24344,34.237263,32.118443,34.11672,34.15524,32.25856
6436c1a59,50.881298,51.523453,48.205208,49.45547,48.48248,48.625286,51.68833,56.12885,46.53276,47.414604
234a5a54c,37.128033,37.55762,35.938328,36.52469,36.32461,36.913456,39.76382,39.618534,37.07792,38.445675
988988d5b,39.70943,40.885143,38.742043,39.54791,39.12967,41.649742,40.34101,41.61461,39.52918,39.079
cf7d3eec0,52.745724,53.250225,52.034897,54.646294,51.76204,54.367565,54.10882,54.809357,52.735252,56.289906
85fc3c314,38.259457,39.85087,43.490837,41.852345,41.48365,40.709995,41.297867,44.108124,40.711517,39.5917
efbf1703a,34.107063,37.142338,33.29553,35.4017,32.46296,34.371876,34.89492,33.820503,34.67506,34.049767
d341fbfd6,39.555714,40.285362,38.06401,41.090084,38.68975,42.37643,39.963314,38.19083,38.23854,36.21286
1a76190c5,58.388424,55.517654,57.739468,55.540466,55.79392,52.08417,56.557167,59.852947,57.54924,59.139645
edb920079,33.763527,32.871624,30.159777,32.377098,32.47961,34.58396,34.974808,36.103027,36.121227,32.12384
543130f60,44.523655,41.854324,42.639782,40.44248,41.62127,42.09085,43.644234,43.462727,41.92942,40.560432
9415bc79e,38.187332,36.279305,42.086952,38.74758,39.91989,39.372215,36.857494,40.845863,38.153477,38.144836
4c6fe4100,29.206701,28.2819,27.85728,30.668732,28.859806,29.318893,28.961319,27.153624,28.666452,27.652517
0737e4f11,48.048615,46.72557,43.71379,48.441586,44.378506,49.92033,48.89485,47.344494,48.039352,49.53664
61fa73996,33.217953,34.73934,37.452545,35.073833,35.088726,37.389313,35.38259,38.607235,33.8746,33.708168
eabb13cea,36.213306,38.09685,35.661736,35.485603,35.894005,35.911556,37.667812,37.746765,34.05617,37.133415
deff069a2,33.633007,33.28083,35.106724,34.492657,33.171864,34.13526,34.379776,34.559597,34.39452,32.68679
4e3640544,37.36639,37.467705,35.214424,41.1991,32.479565,35.821247,35.58408,39.127937,36.356823,37.80179
ace21b6b1,45.32357,42.762516,43.751762,45.943043,42.0113,42.413456,43.486336,47.748505,43.801723,43.40896
8ee223a17,36.757805,36.418472,33.654232,36.588497,36.6358,37.16227,34.724148,35.6616,33.88621,35.028477
9a38d4275,52.957417,55.59445,53.741283,54.47093,50.81802,52.45971,53.00719,54.029907,51.88247,55.04145
671ffc570,37.422993,35.38187,35.724777,33.801888,34.68674,36.499435,35.320057,34.64045,36.268494,34.09909
aece6e7bf,30.459028,32.630146,28.417591,29.07211,29.425367,31.313845,32.59401,30.792274,30.952513,30.285845
c1e816568,39.399666,38.61657,38.28047,38.183598,38.577824,39.07091,41.033886,38.836082,39.651096,39.535652
22f6c0ac6,37.224674,38.729618,41.216866,40.34542,40.539955,40.311543,39.692135,38.895767,38.9411,39.367634
ea159d8da,62.85993,61.96095,62.371384,62.985367,60.48829,61.20174,62.063515,64.57606,60.416973,64.38285
af1035c81,38.189056,35.752502,37.52776,36.388664,38.139576,38.70994,40.967587,39.511665,37.282734,35.73961
0d25f084f,50.493664,48.683685,47.290615,50.796658,47.02455,50.59826,49.086155,50.417282,45.28211,49.058483
6fecc5cf7,45.21873,43.8873,45.69801,41.515614,43.928795,44.70547,44.215847,44.673237,42.331303,45.64684
7fe8ef73d,31.298183,30.672413,31.667269,31.397778,32.57409,32.127495,33.408493,34.468853,32.971138,32.892517
015c75c9e,44.12521,42.76806,39.202972,41.126762,44.24473,42.94731,44.61898,43.991024,44.863396,44.747967
9609a0b86,26.535156,25.213074,26.120996,25.830328,24.903105,24.078222,27.717188,25.359312,25.78763,23.587585
f6551137d,28.933706,26.303078,27.316635,27.078304,27.640196,26.902618,28.623888,28.837875,27.380905,27.892452
8c131db77,22.521723,21.342129,21.485752,23.526518,22.318958,20.833792,24.749664,22.239628,21.903797,23.904354
d765ae877,38.407795,35.720833,36.481606,36.196983,34.671013,33.924816,37.060745,37.183743,36.668224,36.440342
8ce183889,40.148075,36.96388,40.66824,38.60525,38.590496,37.420837,37.267937,38.564865,36.079105,36.788498
9c0ddccc8,35.51725,36.76998,35.073925,36.02868,34.64194,35.918,35.301365,35.069233,35.31373,33.59194
f9df8656a,40.35086,43.16658,39.611183,43.229015,38.39658,40.514328,40.931793,41.447254,41.532425,38.586624
f0ef9c777,29.409275,29.646128,31.071848,28.498878,29.011843,29.854706,29.941595,27.183346,28.961864,29.583397
3181e5424,48.57509,46.633587,45.15671,46.18122,43.05496,41.96094,45.685993,48.31537,44.169323,44.871086
9883a048e,53.59845,53.697975,47.36032,51.38389,52.93275,48.35565,52.6065,51.989185,50.205326,51.16955
b0dec8779,61.495174,63.618458,63.112026,61.44765,63.579704,61.904293,64.17257,61.44817,61.13048,63.638622
e8d0907ae,74.95034,72.31222,74.34628,74.95015,71.94973,75.13092,71.91932,71.841965,72.59664,72.16942
e540c1ba5,25.465351,27.526432,25.871166,28.99288,25.806444,27.5671,28.884348,26.261568,27.511263,25.289455
4a4db4d32,29.817083,31.149805,30.961414,32.62783,31.894913,31.471304,33.40995,30.847105,32.50482,30.680529
98a98311c,35.338196,37.88289,38.91811,39.05626,37.80873,40.74337,37.814487,38.840324,37.650723,36.30887
ef14861df,71.59083,66.9108,70.76796,68.05566,70.671906,66.86427,66.21134,66.331566,69.612015,68.00401
a9bc357f0,37.17023,35.242878,35.598328,37.387512,33.042744,36.240276,39.148544,38.166664,38.46684,37.511776
aaf4a1439,36.743835,33.980854,31.700626,35.06127,34.29808,35.96079,35.810696,33.665485,35.47371,33.579384
1e62e6022,35.24528,35.170326,33.620052,33.38242,33.668552,33.81822,34.438232,35.553696,33.1303,32.40691
4e797dcdd,47.75075,45.710583,46.01502,46.435516,44.36234,45.3997,46.78114,46.16256,46.70133,45.852848
45d2ddcb8,32.92831,32.000195,31.768915,32.95702,31.290987,30.31784,33.39385,32.313507,33.50789,29.845928
259b10a3e,43.869324,43.020996,42.52916,44.020763,45.30619,43.07054,46.42257,46.653618,45.71855,46.81419
d2490c888,37.456486,37.3664,37.017612,39.128693,40.4363,37.609283,41.38018,39.37708,39.4915,45.181614
2c93c0c11,31.49085,34.185635,31.633076,31.718987,31.333939,34.88579,33.159847,30.801273,30.435757,34.393833
35593da00,44.559616,46.08539,44.177296,44.525326,43.88446,44.83832,47.726093,46.870796,44.16848,46.650715
4cc70e613,44.45721,43.3379,44.794468,42.306545,42.427856,42.26833,45.77258,43.931595,45.461407,42.966873
ff125cf8d,43.967472,38.979305,41.105865,38.43868,42.670475,41.583633,43.216568,41.55746,42.949203,45.895145
c30dd6e9a,71.56065,68.1011,71.64308,67.409325,70.519775,70.01607,68.50055,69.5611,69.82565,68.67383
